,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TRPL_DBL,DBL_DBL,Fantasy_PTS
3,Ben Simmons,35,3.0,7.0,0.429,0.0,0.0,0.0,3.0,5.0,0.6,8.0,9.0,1.0,1.0,2.0,4.0,9.0,-11.0,False,False,35.5
6,Ben Simmons,32,6.0,6.0,1.0,0.0,0.0,0.0,3.0,4.0,0.75,13.0,7.0,0.0,1.0,1.0,6.0,15.0,13.0,False,True,44.75
2,Ben Simmons,32,4.0,7.0,0.571,0.0,0.0,0.0,3.0,6.0,0.5,7.0,11.0,3.0,3.0,3.0,3.0,11.0,-9.0,False,True,48.25
4,Ben Simmons,11,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,2.0,2.0,0.0,-3.0,False,False,8.5
1,Ben Simmons,32,7.0,9.0,0.778,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,3.0,2.0,1.0,5.0,14.0,15.0,False,False,35.0
7,Ben Simmons,15,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,2.0,3.0,2.0,-7.0,False,False,9.75
1,Ben Simmons,34,11.0,13.0,0.846,0.0,0.0,0.0,0.0,1.0,0.0,8.0,5.0,1.0,0.0,5.0,3.0,22.0,19.0,False,False,39.0
4,Ben Simmons,28,2.0,5.0,0.4,0.0,1.0,0.0,3.0,5.0,0.6,3.0,8.0,1.0,0.0,5.0,6.0,7.0,-16.0,False,False,22.25
6,Bennedict Mathurin,23,4.0,11.0,0.364,1.0,4.0,0.25,2.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,11.0,5.0,False,False,16.5
6,Bennedict Mathurin,27,7.0,15.0,0.467,3.0,7.0,0.429,2.0,5.0,0.4,7.0,2.0,2.0,0.0,3.0,3.0,19.0,9.0,False,False,34.75
6,Bennedict Mathurin,26,4.0,12.0,0.333,2.0,7.0,0.286,2.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,1.0,12.0,-6.0,False,False,18.5
6,Bennedict Mathurin,21,7.0,13.0,0.538,1.0,2.0,0.5,5.0,6.0,0.833,3.0,0.0,0.0,0.0,1.0,1.0,20.0,-13.0,False,False,23.75
6,Bennedict Mathurin,33,5.0,11.0,0.455,2.0,2.0,1.0,9.0,12.0,0.75,3.0,0.0,1.0,0.0,2.0,1.0,21.0,-3.0,False,False,26.75
6,Bennedict Mathurin,24,10.0,17.0,0.588,6.0,9.0,0.667,4.0,6.0,0.667,2.0,0.0,1.0,0.0,4.0,3.0,30.0,5.0,False,False,35.5
6,Bennedict Mathurin,30,2.0,8.0,0.25,1.0,6.0,0.167,3.0,3.0,1.0,2.0,5.0,0.0,0.0,4.0,1.0,8.0,-4.0,False,False,16.5
6,Bennedict Mathurin,33,8.0,16.0,0.5,6.0,9.0,0.667,10.0,10.0,1.0,5.0,2.0,0.0,0.0,2.0,4.0,32.0,9.0,False,False,43.25
6,Bennedict Mathurin,25,6.0,17.0,0.353,0.0,4.0,0.0,10.0,11.0,0.909,2.0,0.0,1.0,0.0,2.0,2.0,22.0,-11.0,False,False,25.5
6,Bennedict Mathurin,25,4.0,11.0,0.364,1.0,3.0,0.333,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,9.0,-14.0,False,False,15.25
